,link,date,judge,decision
125,https://www.nycourts.gov/reporter/motions/2024/2024_97125.htm,2024-02-26,"Cannataro, J.",Disposition: Applications for Criminal Leave to appeal denied
126,https://www.nycourts.gov/reporter/motions/2024/2024_97126.htm,2024-02-22,"Halligan, J.",Disposition: Applications for Criminal Leave to appeal dismissed
127,https://www.nycourts.gov/reporter/motions/2024/2024_97127.htm,2024-02-29,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
128,https://www.nycourts.gov/reporter/motions/2024/2024_97128.htm,2024-02-29,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
129,https://www.nycourts.gov/reporter/motions/2024/2024_97129.htm,2024-02-26,"Halligan, J.",Disposition: Applications for Criminal Leave to appeal denied
130,https://www.nycourts.gov/reporter/motions/2024/2024_97130.htm,2024-02-27,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
131,https://www.nycourts.gov/reporter/motions/2024/2024_97131.htm,2024-02-23,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
132,https://www.nycourts.gov/reporter/motions/2024/2024_97132.htm,2024-02-23,"Halligan, J.",Disposition: Applications for Criminal Leave to appeal denied
133,https://www.nycourts.gov/reporter/motions/2024/2024_97133.htm,2024-02-29,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
134,https://www.nycourts.gov/reporter/motions/2024/2024_97134.htm,2024-02-22,"Halligan, J.",Disposition: Applications for Criminal Leave to appeal granted
135,https://www.nycourts.gov/reporter/motions/2024/2024_97135.htm,2024-02-29,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
136,https://www.nycourts.gov/reporter/motions/2024/2024_97136.htm,2024-02-29,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
137,https://www.nycourts.gov/reporter/motions/2024/2024_97137.htm,2024-02-27,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
138,https://www.nycourts.gov/reporter/motions/2024/2024_97138.htm,2024-02-15,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
139,https://www.nycourts.gov/reporter/motions/2024/2024_97139.htm,2024-02-27,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
140,https://www.nycourts.gov/reporter/motions/2024/2024_97140.htm,2024-02-20,"Halligan, J.",Disposition: Applications for Criminal Leave to appeal dismissed
141,https://www.nycourts.gov/reporter/motions/2024/2024_97141.htm,2024-02-26,"Cannataro, J.",Disposition: Applications for Criminal Leave to appeal denied
142,https://www.nycourts.gov/reporter/motions/2024/2024_97142.htm,2024-02-22,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
143,https://www.nycourts.gov/reporter/motions/2024/2024_97143.htm,2024-02-26,"Cannataro, J.",Disposition: Applications for Criminal Leave to appeal denied
144,https://www.nycourts.gov/reporter/motions/2024/2024_97144.htm,2024-02-08,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal dismissed
145,https://www.nycourts.gov/reporter/motions/2024/2024_97145.htm,2024-02-26,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
146,https://www.nycourts.gov/reporter/motions/2024/2024_97146.htm,2024-02-29,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
147,https://www.nycourts.gov/reporter/motions/2024/2024_97147.htm,2024-02-26,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
148,https://www.nycourts.gov/reporter/motions/2024/2024_97148.htm,2024-02-22,"Halligan, J.",Disposition: Applications for Criminal Leave to appeal denied
149,https://www.nycourts.gov/reporter/motions/2024/2024_97149.htm,2024-02-29,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
150,https://www.nycourts.gov/reporter/motions/2024/2024_97150.htm,2024-02-26,"Cannataro, J.",Disposition: Applications for Criminal Leave to appeal denied
